chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	803450	812182	-	284593	FAM41C	1	2.55528966E-2	NOT_RUN
chr1	852952	854817	-	100130417	LOC100130417	1	2.55528966E-2	NOT_RUN
chr1	860529	879961	+	148398	SAMD11	1	2.55528966E-2	NOT_RUN
chr1	879582	894679	-	26155	NOC2L	1	2.55528966E-2	NOT_RUN
chr1	895966	901099	+	339451	KLHL17	1	2.55528966E-2	NOT_RUN
chr1	2160133	2241652	+	6497	SKI	1	2.9907133E-1	NOT_RUN
chr1	2252695	2322993	-	79906	MORN1	1	2.9907133E-1	NOT_RUN
chr1	2281852	2284100	-	100129534	LOC100129534	1	2.9907133E-1	NOT_RUN
chr1	2938045	2939467	+	140625	ACTRT2	3	3.89712633E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2976180	2984289	-	440556	FLJ42875	3	3.89712633E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2985741	3355185	+	63976	PRDM16	11	7.86722397E-1	DAVIES_SUCCESS
chr1	3371146	3397677	+	27237	ARHGEF16	1	4.44877419E-1	NOT_RUN
chr1	3404505	3528059	-	1953	MEGF6	1	7.53366031E-2	NOT_RUN
chr1	3541555	3546694	+	127262	TPRG1L	1	7.53366031E-2	NOT_RUN
chr1	3547330	3566671	-	49856	WRAP73	1	7.53366031E-2	NOT_RUN
chr1	3569128	3652765	+	7161	TP73	3	3.52341896E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3652547	3663937	-	57212	TP73-AS1	2	9.66271204E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3668964	3688209	+	148870	CCDC27	4	5.32159718E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3689333	3692546	+	388588	SMIM1	4	5.32159718E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3696783	3713068	-	57470	LRRC47	4	5.32159718E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3728644	3773797	-	9731	CEP104	7	7.09578185E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3773844	3801993	+	1677	DFFB	3	7.20098534E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3805696	3816857	-	339448	C1orf174	3	7.20098534E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3816967	3833879	+	100133612	LOC100133612	1	2.75134976E-1	NOT_RUN
chr1	4472110	4484744	+	284661	LOC284661	3	1.78166203E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	4715104	4843851	+	55966	AJAP1	3	1.86788063E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	5624130	5624203	+	100616489	MIR4417	3	6.56535003E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	5922869	6052533	-	261734	NPHP4	2	3.76360358E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	6052357	6161253	+	8514	KCNAB2	3	4.93250594E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	6281252	6296044	-	23463	ICMT	1	8.46680275E-1	NOT_RUN
chr1	6304251	6305638	+	390992	HES3	1	8.46680275E-1	NOT_RUN
chr1	6307405	6321035	-	387509	GPR153	1	8.46680275E-1	NOT_RUN
chr1	6324331	6453826	-	11332	ACOT7	1	8.46680275E-1	NOT_RUN
chr1	6673755	6684093	+	148479	PHF13	1	1.03224615E-2	NOT_RUN
chr1	6684924	6695646	+	90326	THAP3	1	1.03224615E-2	NOT_RUN
chr1	6694227	6761966	-	55735	DNAJC11	3	4.59285318E-3	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	6845383	7829766	+	23261	CAMTA1	17	9.11565712E-1	DAVIES_SUCCESS
chr1	7831328	7841492	+	9341	VAMP3	1	5.78133843E-1	NOT_RUN
chr1	7844379	7905237	+	8863	PER3	5	3.77608583E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	7903142	7973294	-	10911	UTS2	5	3.826594E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	7975930	8003225	-	3604	TNFRSF9	4	8.9689807E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	8021713	8045342	+	11315	PARK7	1	3.73904026E-1	NOT_RUN
chr1	8071778	8086393	-	54206	ERRFI1	1	3.73904026E-1	NOT_RUN
chr1	8384389	8404227	+	50651	SLC45A1	2	4.5814152E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	8412463	8877699	-	473	RERE	10	6.96123147E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	9294862	9331394	+	9563	H6PD	2	7.96327818E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	9352940	9429590	+	80176	SPSB1	2	4.52741419E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	9789078	9884550	-	22883	CLSTN1	1	2.70804031E-1	NOT_RUN
chr1	9908333	9970316	-	56998	CTNNBIP1	3	2.01938938E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	9989775	10003427	-	84328	LZIC	2	1.82294794E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	10003485	10045556	+	64802	NMNAT1	2	1.82294794E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	10093040	10241296	+	10277	UBE4B	1	6.27280542E-1	NOT_RUN
chr1	10270763	10441661	+	23095	KIF1B	8	8.03946941E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	10459084	10480201	+	5226	PGD	2	8.81131668E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	10490158	10512060	+	100526739	APITD1-CORT	3	9.25479828E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	10509775	10512060	+	1325	CORT	3	9.25479828E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	10520602	10532613	-	1676	DFFA	1	1.88168304E-1	NOT_RUN
chr1	10535002	10690815	+	5195	PEX14	2	1.31770264E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	10696665	10856733	-	54897	CASZ1	3	3.83182463E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	11006529	11042094	-	148345	C1orf127	2	7.78748583E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	11126675	11159938	-	5394	EXOSC10	1	2.28328516E-1	NOT_RUN
chr1	11166587	11322608	-	2475	MTOR	2	2.27218471E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	11203954	11209595	+	100873935	MTOR-AS1	1	2.28328516E-1	NOT_RUN
chr1	11249345	11256038	+	10218	ANGPTL7	1	2.3428853E-1	NOT_RUN
chr1	11333254	11348491	+	29914	UBIAD1	1	2.3428853E-1	NOT_RUN
chr1	11539294	11597640	+	57540	PTCHD2	1	2.94840722E-1	NOT_RUN
chr1	11796141	11810828	+	57085	AGTRAP	1	8.55354452E-1	NOT_RUN
chr1	11845786	11866160	-	4524	MTHFR	1	8.55354452E-1	NOT_RUN
chr1	11866152	11903201	+	1185	CLCN6	1	8.55354452E-1	NOT_RUN
chr1	11900375	11907674	+	100379251	NPPA-AS1	1	8.55354452E-1	NOT_RUN
chr1	11905766	11907840	-	4878	NPPA	1	8.55354452E-1	NOT_RUN
chr1	11994723	12035599	+	5351	PLOD1	2	2.52031776E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	12040237	12073572	+	9927	MFN2	2	2.52031776E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	12079298	12092106	+	60672	MIIP	2	2.52031776E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	12123433	12204264	+	943	TNFRSF8	2	1.26544813E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	12227059	12269277	+	7133	TNFRSF1B	2	1.26544813E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	12251761	12251839	+	100616438	MIR4632	1	5.10485654E-1	NOT_RUN
