chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	803450	812182	-	284593	FAM41C	1	9.38815955E-1	NOT_RUN
chr1	852952	854817	-	100130417	LOC100130417	1	9.38815955E-1	NOT_RUN
chr1	860529	879961	+	148398	SAMD11	1	9.38815955E-1	NOT_RUN
chr1	879582	894679	-	26155	NOC2L	1	9.38815955E-1	NOT_RUN
chr1	895966	901099	+	339451	KLHL17	1	9.38815955E-1	NOT_RUN
chr1	2160133	2241652	+	6497	SKI	1	2.23156469E-1	NOT_RUN
chr1	2252695	2322993	-	79906	MORN1	1	2.23156469E-1	NOT_RUN
chr1	2281852	2284100	-	100129534	LOC100129534	1	2.23156469E-1	NOT_RUN
chr1	2938045	2939467	+	140625	ACTRT2	3	1.04477363E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2976180	2984289	-	440556	FLJ42875	3	1.04477363E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2985741	3355185	+	63976	PRDM16	11	2.53938563E-2	DAVIES_SUCCESS
chr1	3371146	3397677	+	27237	ARHGEF16	1	6.47491214E-2	NOT_RUN
chr1	3404505	3528059	-	1953	MEGF6	1	6.4336128E-1	NOT_RUN
chr1	3541555	3546694	+	127262	TPRG1L	1	6.4336128E-1	NOT_RUN
chr1	3547330	3566671	-	49856	WRAP73	1	6.4336128E-1	NOT_RUN
chr1	3569128	3652765	+	7161	TP73	3	9.73211715E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3652547	3663937	-	57212	TP73-AS1	2	9.97816391E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3668964	3688209	+	148870	CCDC27	4	9.91213054E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3689333	3692546	+	388588	SMIM1	4	9.91213054E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3696783	3713068	-	57470	LRRC47	4	9.91213054E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3728644	3773797	-	9731	CEP104	7	9.37838499E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3773844	3801993	+	1677	DFFB	3	6.30757743E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3805696	3816857	-	339448	C1orf174	3	6.30757743E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3816967	3833879	+	100133612	LOC100133612	1	3.95217155E-1	NOT_RUN
chr1	4472110	4484744	+	284661	LOC284661	3	5.46421927E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	4715104	4843851	+	55966	AJAP1	3	2.64757629E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	5624130	5624203	+	100616489	MIR4417	3	1.26296139E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	5922869	6052533	-	261734	NPHP4	2	8.26034378E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	6052357	6161253	+	8514	KCNAB2	3	8.70283731E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	6281252	6296044	-	23463	ICMT	1	2.24109335E-1	NOT_RUN
chr1	6304251	6305638	+	390992	HES3	1	2.24109335E-1	NOT_RUN
chr1	6307405	6321035	-	387509	GPR153	1	2.24109335E-1	NOT_RUN
chr1	6324331	6453826	-	11332	ACOT7	1	2.24109335E-1	NOT_RUN
chr1	6673755	6684093	+	148479	PHF13	1	1.21705191E-1	NOT_RUN
chr1	6684924	6695646	+	90326	THAP3	1	1.21705191E-1	NOT_RUN
chr1	6694227	6761966	-	55735	DNAJC11	3	2.34691811E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	6845383	7829766	+	23261	CAMTA1	17	3.38160698E-1	DAVIES_SUCCESS
chr1	7831328	7841492	+	9341	VAMP3	1	8.13096276E-2	NOT_RUN
chr1	7844379	7905237	+	8863	PER3	5	3.36161641E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	7903142	7973294	-	10911	UTS2	5	6.14745177E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	7975930	8003225	-	3604	TNFRSF9	4	5.07244621E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	8021713	8045342	+	11315	PARK7	1	1.00107951E-1	NOT_RUN
chr1	8071778	8086393	-	54206	ERRFI1	1	1.00107951E-1	NOT_RUN
chr1	8384389	8404227	+	50651	SLC45A1	2	6.1037066E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	8412463	8877699	-	473	RERE	10	2.9282383E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	9294862	9331394	+	9563	H6PD	2	3.75994176E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	9352940	9429590	+	80176	SPSB1	2	4.26585197E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	9789078	9884550	-	22883	CLSTN1	1	9.26392398E-1	NOT_RUN
chr1	9908333	9970316	-	56998	CTNNBIP1	3	8.21139791E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	9989775	10003427	-	84328	LZIC	2	6.36115442E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	10003485	10045556	+	64802	NMNAT1	2	6.36115442E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	10093040	10241296	+	10277	UBE4B	1	8.13455907E-1	NOT_RUN
chr1	10270763	10441661	+	23095	KIF1B	8	9.80248149E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	10459084	10480201	+	5226	PGD	2	9.85943015E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	10490158	10512060	+	100526739	APITD1-CORT	3	4.74200777E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	10509775	10512060	+	1325	CORT	3	4.74200777E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	10520602	10532613	-	1676	DFFA	1	1.46400358E-1	NOT_RUN
chr1	10535002	10690815	+	5195	PEX14	2	2.92539785E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	10696665	10856733	-	54897	CASZ1	3	9.87957696E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	11006529	11042094	-	148345	C1orf127	2	6.54971718E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	11126675	11159938	-	5394	EXOSC10	1	4.62044614E-1	NOT_RUN
chr1	11166587	11322608	-	2475	MTOR	2	4.8659911E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	11203954	11209595	+	100873935	MTOR-AS1	1	4.62044614E-1	NOT_RUN
chr1	11249345	11256038	+	10218	ANGPTL7	1	4.73995091E-1	NOT_RUN
chr1	11333254	11348491	+	29914	UBIAD1	1	4.73995091E-1	NOT_RUN
chr1	11539294	11597640	+	57540	PTCHD2	1	7.10253331E-1	NOT_RUN
chr1	11796141	11810828	+	57085	AGTRAP	1	1.0803968E-1	NOT_RUN
chr1	11845786	11866160	-	4524	MTHFR	1	1.0803968E-1	NOT_RUN
chr1	11866152	11903201	+	1185	CLCN6	1	1.0803968E-1	NOT_RUN
chr1	11900375	11907674	+	100379251	NPPA-AS1	1	1.0803968E-1	NOT_RUN
chr1	11905766	11907840	-	4878	NPPA	1	1.0803968E-1	NOT_RUN
chr1	11994723	12035599	+	5351	PLOD1	2	3.2481201E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	12040237	12073572	+	9927	MFN2	2	3.2481201E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	12079298	12092106	+	60672	MIIP	2	3.2481201E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	12123433	12204264	+	943	TNFRSF8	2	3.72206838E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	12227059	12269277	+	7133	TNFRSF1B	2	3.72206838E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	12251761	12251839	+	100616438	MIR4632	1	6.91076065E-1	NOT_RUN
chr1	12290112	12572098	+	55187	VPS13D	1	3.69369806E-1	NOT_RUN
chr1	12704565	12727097	+	343066	AADACL4	2	9.66430276E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	12776117	12788726	+	126767	AADACL3	3	5.30950144E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	12806162	12821102	+	93190	C1orf158	2	3.12644094E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	12834983	12838048	+	390999	PRAMEF12	2	3.12644094E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	12851545	12856777	+	65121	PRAMEF1	2	3.12644094E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	12884467	12891264	-	440560	PRAMEF11	2	3.12644094E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	13910251	13944452	+	10630	PDPN	3	7.5890853E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	14026734	14151574	+	7799	PRDM2	9	5.27117014E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	14925212	15444544	+	23254	KAZN	14	4.196368E-2	DAVIES_SUCCESS
chr1	15438310	15478960	-	200197	TMEM51-AS1	4	2.41798064E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	15479027	15546974	+	55092	TMEM51	3	3.50828308E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	15573767	15726778	+	114827	FHAD1	3	5.69728235E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	15736390	15756839	+	79180	EFHD2	1	3.65848847E-1	NOT_RUN
chr1	15764937	15773153	+	11330	CTRC	1	3.65848847E-1	NOT_RUN
chr1	15783222	15798586	+	63036	CELA2A	1	4.99228746E-1	NOT_RUN
chr1	15802595	15817895	+	51032	CELA2B	1	4.99228746E-1	NOT_RUN
chr1	15817323	15851285	-	842	CASP9	1	4.99228746E-1	NOT_RUN
chr1	15853351	15918874	+	23341	DNAJC16	2	6.49957826E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	15898193	15911605	-	79814	AGMAT	1	6.34642008E-1	NOT_RUN
chr1	15943952	15987552	+	84301	DDI2	3	6.26258759E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	15986363	15988217	+	6248	RSC1A1	2	5.30992553E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	16010826	16061264	+	23207	PLEKHM2	2	5.30992553E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	16174358	16266950	+	23013	SPEN	2	7.64082416E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	16268363	16302627	-	7709	ZBTB17	2	7.64082416E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	16524598	16539104	-	128272	ARHGEF19	1	7.00434382E-1	NOT_RUN
chr1	16558181	16563659	-	79363	RSG1	1	7.00434382E-1	NOT_RUN
chr1	16576558	16678948	-	54455	FBXO42	4	6.49629671E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	16693524	16724643	+	26099	SZRD1	1	6.60445969E-1	NOT_RUN
chr1	16722175	16763919	-	374955	SPATA21	1	4.03161183E-3	NOT_RUN
chr1	16767166	16786584	+	55707	NECAP2	2	1.36086187E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	16793930	16819196	-	114819	CROCCP3	2	1.36086187E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	16875408	17185516	+	100500876	MIR3675	1	2.67331072E-1	NOT_RUN
chr1	17345224	17380665	-	6390	SDHB	2	3.81421603E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	17393255	17445948	-	11240	PADI2	3	5.87159832E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	17531620	17572501	+	29943	PADI1	4	6.01463799E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	17575592	17610727	+	51702	PADI3	4	6.01463799E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	17634689	17690495	+	23569	PADI4	3	1.28214541E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	17698740	17728195	+	353238	PADI6	1	5.30054445E-1	NOT_RUN
chr1	17733250	17766250	-	55920	RCC2	1	5.30054445E-1	NOT_RUN
chr1	17846826	18024370	+	55160	ARHGEF10L	1	5.51832101E-1	NOT_RUN
chr1	18081807	18153558	+	81569	ACTL8	3	7.44050326E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	18434239	18704977	+	84966	IGSF21	8	4.61924013E-1	DAVIES_SUCCESS
chr1	18807423	18812480	+	127707	KLHDC7A	1	3.7833265E-1	NOT_RUN
chr1	18957499	19075360	+	5081	PAX7	1	5.63656166E-3	NOT_RUN
chr1	19166092	19186155	-	80834	TAS1R2	1	1.94030886E-1	NOT_RUN
chr1	19197923	19229293	-	8659	ALDH4A1	1	1.94030886E-1	NOT_RUN
chr1	19209695	19209769	-	100616120	MIR4695	1	1.94030886E-1	NOT_RUN
chr1	19230773	19282826	-	126917	IFFO2	1	1.94030886E-1	NOT_RUN
chr1	19400999	19536746	-	23352	UBR4	6	5.83031143E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	19542157	19578053	-	23065	EMC1	5	4.69075323E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	19578074	19586622	+	51154	MRTO4	2	6.20351924E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	19592475	19600568	-	246181	AKR7L	2	6.20351924E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	19609056	19615280	-	22977	AKR7A3	2	6.20351924E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	19619740	19622230	-	100506730	LOC100506730	1	6.33919701E-1	NOT_RUN
chr1	19629201	19638640	-	8574	AKR7A2	1	6.33919701E-1	NOT_RUN
chr1	19638739	19658922	+	54896	PQLC2	1	6.33919701E-1	NOT_RUN
chr1	19665266	19812066	-	832	CAPZB	7	8.25140509E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	19923470	19984949	+	100532736	MINOS1-NBL1	6	6.21327149E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	19934300	19935138	+	644068	RPS14P3	6	6.21327149E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	19969722	19984949	+	4681	NBL1	4	5.10533298E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	19991779	20006055	+	3362	HTR6	4	5.10533298E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	20008705	20126758	-	255104	TMCO4	2	9.24333192E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	20140521	20141771	-	54546	RNF186	3	6.63853107E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	20208887	20239437	+	23252	OTUD3	3	2.68874222E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	20246799	20250110	-	30814	PLA2G2E	2	2.91549263E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	20354671	20418394	+	5322	PLA2G5	2	2.62725124E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	20439142	20446059	-	26279	PLA2G2D	2	2.62725124E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	20465822	20476879	+	64600	PLA2G2F	1	4.34461301E-1	NOT_RUN
chr1	20490483	20501687	-	391013	PLA2G2C	2	8.06026859E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	20512577	20519942	+	127733	UBXN10	2	8.06026859E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	20617411	20681387	+	127731	VWA5B1	10	5.46175993E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	20686293	20755287	-	339505	LOC339505	3	7.06421212E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	20808883	20812728	-	55450	CAMK2N1	2	7.24015458E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	20825940	20834674	-	79594	MUL1	6	1.91707998E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	20878931	20881513	+	163933	FAM43B	7	6.40929884E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	20915443	20945400	+	978	CDA	6	5.00532405E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	20990506	21044317	-	57576	KIF17	1	3.91472394E-1	NOT_RUN
chr1	21046224	21059330	-	400745	SH2D5	2	5.1434255E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	21069170	21113799	-	50809	HP1BP3	3	6.34028971E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	21132784	21503381	-	8672	EIF4G3	8	5.03590472E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	21766582	21811393	+	84224	NBPF3	3	1.71931961E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	21835857	21904905	+	249	ALPL	5	9.61088966E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	21922707	21995856	-	5909	RAP1GAP	3	1.59655295E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	22004791	22109688	-	84196	USP48	3	6.25974722E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	22148736	22263750	-	3339	HSPG2	1	6.86773081E-2	NOT_RUN
chr1	22303417	22333141	+	23436	CELA3B	1	6.86773081E-2	NOT_RUN
chr1	22379119	22419436	+	998	CDC42	1	5.83408907E-1	NOT_RUN
chr1	22443797	22470385	-	54361	WNT4	2	7.35976001E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	22778343	22857650	+	9923	ZBTB40	4	5.33572476E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	22890003	22930087	+	2046	EPHA8	2	1.94639523E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	22963117	22966175	+	712	C1QA	2	1.55683006E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	22970117	22974603	+	714	C1QC	2	1.55683006E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	22979681	22988029	+	713	C1QB	2	1.55683006E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	23037330	23241823	+	2048	EPHB2	3	8.70424105E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	23046009	23046091	+	100616391	MIR4684	1	7.17743275E-1	NOT_RUN
chr1	23337326	23342343	-	729059	LOC729059	2	4.21197444E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	23345940	23410184	+	23028	KDM1A	3	5.57268763E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	23370797	23370865	+	100422866	MIR3115	1	5.16185562E-1	NOT_RUN
chr1	23410515	23504301	-	7798	LUZP1	5	6.69369959E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	23518387	23521222	-	3352	HTR1D	3	5.42243383E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	23636275	23670853	-	10236	HNRNPR	2	7.9509757E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	23685940	23696357	-	80818	ZNF436	2	7.9509757E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	23695463	23698330	+	148898	C1orf213	2	2.03156907E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	23707554	23751261	-	6920	TCEA3	2	2.03156907E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	23755055	23811057	-	55616	ASAP3	2	4.01138528E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	23832919	23857712	-	1870	E2F2	1	5.35294446E-1	NOT_RUN
chr1	23884420	23886285	-	3399	ID3	1	5.35294446E-1	NOT_RUN
chr1	23907984	23967056	+	259283	MDS2	1	6.98766876E-1	NOT_RUN
chr1	24018268	24022915	+	6135	RPL11	2	6.62156746E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	24069855	24088549	+	6924	TCEB3	1	4.43178934E-1	NOT_RUN
chr1	24382530	24438665	-	127294	MYOM3	4	5.88054535E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	24446260	24469775	-	58985	IL22RA1	4	5.88054535E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	24480646	24513765	-	163702	IFNLR1	2	5.26003225E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	24526729	24538180	+	284632	LOC284632	1	6.69951301E-1	NOT_RUN
chr1	24645811	24690970	+	57822	GRHL3	7	3.44680088E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	24683488	24741587	-	90529	STPG1	10	4.62645135E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	24742244	24799473	+	57185	NIPAL3	8	9.0353847E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	24822822	24828850	-	100750325	RCAN3AS	1	5.44074847E-1	NOT_RUN
chr1	24828840	24863510	+	11123	RCAN3	1	5.44074847E-1	NOT_RUN
chr1	24882566	24935818	+	400746	NCMAP	1	5.44074847E-1	NOT_RUN
chr1	25071759	25170815	+	25932	CLIC4	1	7.35843104E-1	NOT_RUN
chr1	25226001	25291612	-	864	RUNX3	7	5.65807734E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	25943958	26111258	+	57134	MAN1C1	1	5.58965523E-1	NOT_RUN
chr1	26126666	26144713	+	57190	SEPN1	2	6.615945E-1	NOT_RUN
chr1	26146396	26159433	+	56181	MTFR1L	2	6.615945E-1	NOT_RUN
chr1	26146444	26150097	-	646471	LOC646471	2	6.615945E-1	NOT_RUN
chr1	26160496	26185848	-	79000	AUNIP	2	6.615945E-1	NOT_RUN
chr1	26187974	26197744	-	164091	PAQR7	2	6.615945E-1	NOT_RUN
chr1	26210676	26233368	-	3925	STMN1	1	8.3821863E-1	NOT_RUN
chr1	26286257	26324648	-	5051	PAFAH2	2	9.96623483E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	26348270	26362954	+	2134	EXTL1	3	9.81967602E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	26364513	26372604	-	7780	SLC30A2	3	9.81967602E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	26377795	26394125	-	84676	TRIM63	2	9.29641461E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
