Name	chi2Pvalue	empPvalue
REACTOME_TRANSPORT_OF_ORGANIC_ANIONS	7.04863686E-4	4.84E-4
REACTOME_TRANSCRIPTION	5.17952129E-3	5.29E-3
REACTOME_BOTULINUM_NEUROTOXICITY	6.60653359E-3	6.75E-3
REACTOME_PROTEOLYTIC_CLEAVAGE_OF_SNARE_COMPLEX_PROTEINS	7.20587243E-3	7.11E-3
BIOCARTA_PS1_PATHWAY	8.4576599E-3	6.95E-3
KEGG_BASAL_TRANSCRIPTION_FACTORS	8.81264987E-3	1.008E-2
REACTOME_MEIOTIC_SYNAPSIS	9.42612789E-3	8.24E-3
KEGG_PENTOSE_PHOSPHATE_PATHWAY	9.90719307E-3	9.08E-3
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	9.98082745E-3	9.17E-3
BIOCARTA_VEGF_PATHWAY	1.22911586E-2	1.41E-2
REACTOME_MITOTIC_PROMETAPHASE	1.30783375E-2	1.291E-2
BIOCARTA_EIF2_PATHWAY	1.41822193E-2	1.563E-2
REACTOME_METABOLISM_OF_CARBOHYDRATES	1.54997732E-2	1.429E-2
REACTOME_SIGNALING_BY_ROBO_RECEPTOR	1.5937986E-2	1.385E-2
REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION	1.73047734E-2	1.686E-2
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	1.74580824E-2	1.39E-2
REACTOME_GLYCOSPHINGOLIPID_METABOLISM	1.91048443E-2	1.941E-2
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	2.0845243E-2	2.045E-2
REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES	2.30328398E-2	2.034E-2
REACTOME_RNA_POL_I_PROMOTER_OPENING	2.3310699E-2	2.097E-2
REACTOME_COLLAGEN_FORMATION	2.34976064E-2	2.065E-2
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	2.4607647E-2	2.617E-2
REACTOME_RNA_POL_II_TRANSCRIPTION_PRE_INITIATION_AND_PROMOTER_OPENING	2.53625375E-2	2.767E-2
REACTOME_ACTIVATION_OF_RAC	2.95683917E-2	2.974E-2
REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI	3.07522705E-2	3.373E-2
REACTOME_PACKAGING_OF_TELOMERE_ENDS	3.09938432E-2	2.821E-2
BIOCARTA_GLYCOLYSIS_PATHWAY	3.3120476E-2	3.397E-2
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	3.39033005E-2	3.336E-2
BIOCARTA_EPONFKB_PATHWAY	3.57065009E-2	3.106E-2
REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION	3.85883778E-2	4.019E-2
KEGG_OTHER_GLYCAN_DEGRADATION	3.88789859E-2	3.841E-2
REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	4.12870321E-2	4.329E-2
BIOCARTA_CALCINEURIN_PATHWAY	4.17591059E-2	4.354E-2
REACTOME_PIP3_ACTIVATES_AKT_SIGNALING	4.24399376E-2	4.268E-2
REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES	4.25113663E-2	3.744E-2
KEGG_ABC_TRANSPORTERS	4.34014877E-2	3.717E-2
BIOCARTA_NDKDYNAMIN_PATHWAY	4.63945829E-2	4.931E-2
REACTOME_SPHINGOLIPID_METABOLISM	4.70405792E-2	4.842E-2
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	4.8338283E-2	5.27E-2
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	4.99303711E-2	5.143E-2
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	5.02107001E-2	4.748E-2
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	5.13912239E-2	4.5E-2
BIOCARTA_CYTOKINE_PATHWAY	5.15441008E-2	5.216E-2
BIOCARTA_AKT_PATHWAY	5.40001531E-2	5.536E-2
REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE	5.63926463E-2	5.647E-2
REACTOME_MRNA_SPLICING_MINOR_PATHWAY	5.92323809E-2	6.353E-2
REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES	5.99269364E-2	4.889E-2
REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES	6.04053257E-2	6.394E-2
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	6.27979723E-2	5.788E-2
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER	6.46780909E-2	6.519E-2
REACTOME_RNA_POL_II_TRANSCRIPTION	6.48957074E-2	6.689E-2
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	6.50678827E-2	5.806E-2
REACTOME_TRYPTOPHAN_CATABOLISM	6.71550248E-2	7.317E-2
REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	6.78417833E-2	7.174E-2
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS	7.02628366E-2	5.699E-2
REACTOME_ENDOGENOUS_STEROLS	7.05409819E-2	7.453E-2
REACTOME_TRANSLATION	7.43295739E-2	7.129E-2
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	7.51736043E-2	6.997E-2
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	7.59005772E-2	6.984E-2
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	7.84114068E-2	8.018E-2
BIOCARTA_EPHA4_PATHWAY	7.90410728E-2	8.073E-2
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI	7.92395732E-2	8.31E-2
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	8.11953383E-2	8.851E-2
BIOCARTA_EIF_PATHWAY	8.17075367E-2	7.826E-2
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	8.18323344E-2	8.914E-2
REACTOME_SIGNALING_BY_RHO_GTPASES	8.20630105E-2	7.541E-2
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	8.28062811E-2	9.114E-2
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	8.70586451E-2	8.225E-2
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	9.03395806E-2	7.977E-2
REACTOME_RNA_POL_III_TRANSCRIPTION	9.40099937E-2	1.013E-1
REACTOME_GLYCOLYSIS	9.51268217E-2	9.467E-2
REACTOME_SIGNALING_BY_NOTCH2	9.58627301E-2	9.007E-2
REACTOME_RNA_POL_II_PRE_TRANSCRIPTION_EVENTS	9.84035097E-2	1.0503E-1
REACTOME_CELL_CYCLE	1.00152537E-1	9.245E-2
REACTOME_CTNNB1_PHOSPHORYLATION_CASCADE	1.02272416E-1	9.27E-2
REACTOME_RNA_POL_III_CHAIN_ELONGATION	1.02347476E-1	1.0515E-1
KEGG_JAK_STAT_SIGNALING_PATHWAY	1.02543969E-1	1.0245E-1
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	1.03000686E-1	9.83E-2
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR	1.06583373E-1	1.0919E-1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	1.12439194E-1	1.1184E-1
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	1.13934746E-1	1.0727E-1
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	1.155873E-1	1.16E-1
REACTOME_PI_3K_CASCADE	1.15693752E-1	1.173E-1
BIOCARTA_ALK_PATHWAY	1.16588407E-1	1.1521E-1
REACTOME_TRNA_AMINOACYLATION	1.16811593E-1	1.0755E-1
REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE	1.17636958E-1	1.2407E-1
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	1.18580188E-1	1.1194E-1
REACTOME_PI3K_AKT_ACTIVATION	1.19395819E-1	1.1826E-1
KEGG_STARCH_AND_SUCROSE_METABOLISM	1.2009207E-1	1.237E-1
REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII	1.20725381E-1	1.3075E-1
REACTOME_MITOTIC_M_M_G1_PHASES	1.22118833E-1	1.1916E-1
REACTOME_AMYLOIDS	1.24881522E-1	1.129E-1
KEGG_ASTHMA	1.24968899E-1	1.2772E-1
REACTOME_SIGNALING_BY_NOTCH4	1.25697982E-1	1.1511E-1
REACTOME_SIGNALING_BY_NOTCH3	1.25697982E-1	1.1589E-1
KEGG_BASAL_CELL_CARCINOMA	1.26789588E-1	1.2118E-1
REACTOME_RNA_POL_III_TRANSCRIPTION_TERMINATION	1.28222401E-1	1.3214E-1
KEGG_LIMONENE_AND_PINENE_DEGRADATION	1.28748522E-1	1.332E-1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	1.29532625E-1	1.3804E-1
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS	1.30341999E-1	1.2783E-1
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	1.31011166E-1	1.2937E-1
BIOCARTA_MTA3_PATHWAY	1.31150922E-1	1.3375E-1
KEGG_DORSO_VENTRAL_AXIS_FORMATION	1.31362047E-1	1.3727E-1
REACTOME_CELL_CYCLE_MITOTIC	1.3285757E-1	1.2447E-1
REACTOME_RECEPTOR_LIGAND_BINDING_INITIATES_THE_SECOND_PROTEOLYTIC_CLEAVAGE_OF_NOTCH_RECEPTOR	1.3502814E-1	1.2386E-1
BIOCARTA_IL5_PATHWAY	1.35585782E-1	1.3682E-1
