Name	chi2Pvalue	empPvalue
BIOCARTA_GABA_PATHWAY	9.92290267E-4	6.4E-4
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	1.33983505E-3	1.19E-3
REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT	3.39506761E-3	3.57E-3
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	4.64832243E-3	5.1E-3
REACTOME_OLFACTORY_SIGNALING_PATHWAY	5.47198634E-3	4.76E-3
REACTOME_CRMPS_IN_SEMA3A_SIGNALING	6.20851195E-3	5.73E-3
KEGG_ALLOGRAFT_REJECTION	7.09621476E-3	5.67E-3
REACTOME_GABA_A_RECEPTOR_ACTIVATION	7.13455471E-3	7.18E-3
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	7.67928874E-3	7.89E-3
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI	7.82390782E-3	7.81E-3
KEGG_NOTCH_SIGNALING_PATHWAY	8.33784796E-3	7.69E-3
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	8.78157679E-3	5.76E-3
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	9.09654448E-3	9.98E-3
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	9.766415E-3	1.042E-2
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_ATF6_ALPHA	1.01176515E-2	1.028E-2
REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS	1.36471432E-2	1.604E-2
KEGG_OLFACTORY_TRANSDUCTION	1.5889781E-2	1.447E-2
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	1.64636048E-2	1.91E-2
BIOCARTA_SET_PATHWAY	1.65398845E-2	2.01E-2
REACTOME_RECEPTOR_LIGAND_BINDING_INITIATES_THE_SECOND_PROTEOLYTIC_CLEAVAGE_OF_NOTCH_RECEPTOR	1.65548017E-2	1.542E-2
