Name	chi2Pvalue	empPvalue
REACTOME_BASIGIN_INTERACTIONS	5.21953839E-3	6.03E-3
BIOCARTA_FEEDER_PATHWAY	7.92832044E-3	8.61E-3
BIOCARTA_SODD_PATHWAY	8.67347381E-3	7.91E-3
KEGG_SMALL_CELL_LUNG_CANCER	8.82207396E-3	8.34E-3
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	9.43705105E-3	8.26E-3
KEGG_GLYCEROLIPID_METABOLISM	9.58715355E-3	7.97E-3
REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX_	1.23537764E-2	1.208E-2
REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION	1.35406618E-2	9.83E-3
REACTOME_INSULIN_SYNTHESIS_AND_PROCESSING	1.65422202E-2	1.496E-2
REACTOME_GLYCOSPHINGOLIPID_METABOLISM	1.7682329E-2	1.366E-2
KEGG_HOMOLOGOUS_RECOMBINATION	1.76949479E-2	1.894E-2
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	2.02507708E-2	1.711E-2
BIOCARTA_MPR_PATHWAY	2.14901049E-2	2.464E-2
BIOCARTA_CHREBP2_PATHWAY	2.17967517E-2	2.117E-2
REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE	2.3568172E-2	2.612E-2
REACTOME_INTRINSIC_PATHWAY	2.39525418E-2	2.409E-2
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	2.41579579E-2	1.503E-2
BIOCARTA_ATM_PATHWAY	2.45441046E-2	2.283E-2
REACTOME_ELONGATION_ARREST_AND_RECOVERY	2.74009659E-2	2.838E-2
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS	2.88878121E-2	2.674E-2
REACTOME_RAP1_SIGNALLING	3.15557222E-2	2.804E-2
