chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	803450	812182	-	FAM41C	FAM41C	1	0.894497316	Simul
chr1	852952	854817	-	LOC100130417	LOC100130417	1	0.894497316	Simul
chr1	860529	879961	+	SAMD11	SAMD11	1	0.894497316	Simul
chr1	879582	894679	-	NOC2L	NOC2L	1	0.894497316	Simul
chr1	895966	901099	+	KLHL17	KLHL17	1	0.894497316	Simul
chr1	2160133	2241652	+	SKI	SKI	1	0.805036318	Simul
chr1	2252695	2322993	-	MORN1	MORN1	1	0.805036318	Simul
chr1	2281852	2284100	-	LOC100129534	LOC100129534	1	0.805036318	Simul
chr1	2938045	2939467	+	ACTRT2	ACTRT2	3	0.497661993	Simul
chr1	2976180	2984289	-	FLJ42875	FLJ42875	3	0.497661993	Simul
chr1	2985741	3355185	+	PRDM16	PRDM16	11	0.910283566	Simul
chr1	3371146	3397677	+	ARHGEF16	ARHGEF16	1	0.236222597	Simul
chr1	3404505	3528059	-	MEGF6	MEGF6	1	0.734515036	Simul
chr1	3541555	3546694	+	TPRG1L	TPRG1L	1	0.734515036	Simul
chr1	3547330	3566671	-	WRAP73	WRAP73	1	0.734515036	Simul
chr1	3569128	3652765	+	TP73	TP73	3	0.0446842764	Simul
chr1	3652547	3663937	-	TP73-AS1	TP73-AS1	2	0.0205731053	Simul
chr1	3668964	3688209	+	CCDC27	CCDC27	4	0.0498863596	Simul
chr1	3689333	3692546	+	SMIM1	SMIM1	4	0.0498863596	Simul
chr1	3696783	3713068	-	LRRC47	LRRC47	4	0.0498863596	Simul
chr1	3728644	3773797	-	CEP104	CEP104	7	0.0872013673	Simul
chr1	3773844	3801993	+	DFFB	DFFB	3	0.463809058	Simul
chr1	3805696	3816857	-	C1orf174	C1orf174	3	0.463809058	Simul
chr1	3816967	3833879	+	LOC100133612	LOC100133612	1	0.346003801	Simul
chr1	4472110	4484744	+	LOC284661	LOC284661	3	0.293668352	Simul
chr1	4715104	4843851	+	AJAP1	AJAP1	3	0.574427209	Simul
chr1	5624130	5624203	+	MIR4417	MIR4417	3	0.243758388	Simul
chr1	5922869	6052533	-	NPHP4	NPHP4	2	0.39717441	Simul
chr1	6052357	6161253	+	KCNAB2	KCNAB2	3	0.601984724	Simul
chr1	6281252	6296044	-	ICMT	ICMT	1	0.994334129	Simul
chr1	6304251	6305638	+	HES3	HES3	1	0.994334129	Simul
chr1	6307405	6321035	-	GPR153	GPR153	1	0.994334129	Simul
chr1	6324331	6453826	-	ACOT7	ACOT7	1	0.994334129	Simul
chr1	6673755	6684093	+	PHF13	PHF13	1	0.926438248	Simul
chr1	6684924	6695646	+	THAP3	THAP3	1	0.926438248	Simul
chr1	6694227	6761966	-	DNAJC11	DNAJC11	3	0.77751332	Simul
chr1	6845383	7829766	+	CAMTA1	CAMTA1	17	0.745030515	Simul
chr1	7831328	7841492	+	VAMP3	VAMP3	1	0.773089313	Simul
chr1	7844379	7905237	+	PER3	PER3	5	0.939730739	Simul
